Input List,Area AVG,RG AVG,RDF Peak
"[(1, 'S1'), (2, 'S0'), (3, 'S1'), (4, 'S4'), (5, 'E7'), (6, 'S6'), (7, 'S6'), (8, 'E7'), (9, 'S0'), (10, 'E8'), (11, 'S0'), (12, 'E8'), (13, 'S8'), (14, 'E6'), (15, 'E0'), (16, 'E5')]",12237.38889781,17.42691046,1.88536857
"[(1, 'E0'), (2, 'S8'), (3, 'S4'), (4, 'S6'), (5, 'S1'), (6, 'S4'), (7, 'S3'), (8, 'S3'), (9, 'E6'), (10, 'E5'), (11, 'S6'), (12, 'E0'), (13, 'S8'), (14, 'S6'), (15, 'E5'), (16, 'E4')]",12982.11766281,18.70033918,1.96464866
"[(1, 'S2'), (2, 'E4'), (3, 'S9'), (4, 'S5'), (5, 'S0'), (6, 'E5'), (7, 'E2'), (8, 'S7'), (9, 'S5'), (10, 'E8'), (11, 'E8'), (12, 'E3'), (13, 'S2'), (14, 'E5'), (15, 'S1'), (16, 'E2'), (17, 'S6'), (18, 'S7'), (19, 'S5')]",14159.99926238,18.37209984,1.62901388
"[(1, 'S3'), (2, 'S6'), (3, 'S0'), (4, 'S7'), (5, 'E1'), (6, 'E3'), (7, 'S4'), (8, 'S8'), (9, 'E1'), (10, 'S2'), (11, 'S4'), (12, 'E5'), (13, 'S8'), (14, 'E4'), (15, 'E9'), (16, 'E0'), (17, 'E7'), (18, 'S1'), (19, 'E8'), (20, 'S0')]",12359.06650446,19.86772615,1.75251409
"[(1, 'E8'), (2, 'S8'), (3, 'E9'), (4, 'S6'), (5, 'S3'), (6, 'S2'), (7, 'E9'), (8, 'E2'), (9, 'S2'), (10, 'S7'), (11, 'S7'), (12, 'E9'), (13, 'E7'), (14, 'E7'), (15, 'S7')]",16196.70572592,17.95146504,1.9382071
"[(1, 'E2'), (2, 'S9'), (3, 'S3'), (4, 'S7'), (5, 'S6'), (6, 'S6'), (7, 'E3'), (8, 'S8'), (9, 'S2'), (10, 'S6'), (11, 'E7'), (12, 'S0'), (13, 'S5'), (14, 'E1'), (15, 'S3'), (16, 'S7')]",14611.96642705,19.48281075,1.19846412
"[(1, 'E5'), (2, 'E8'), (3, 'E4'), (4, 'E6'), (5, 'E5'), (6, 'S7'), (7, 'S4'), (8, 'E8'), (9, 'S5'), (10, 'E0'), (11, 'E8'), (12, 'E9'), (13, 'E1'), (14, 'S9'), (15, 'E7'), (16, 'S1'), (17, 'E1')]",13205.50621623,17.52465933,1.77796063
"[(1, 'E6'), (2, 'S2'), (3, 'E5'), (4, 'S8'), (5, 'E1'), (6, 'S5'), (7, 'S9'), (8, 'E3'), (9, 'S9'), (10, 'E3'), (11, 'S1'), (12, 'E2'), (13, 'E5'), (14, 'E4'), (15, 'S6'), (16, 'E4'), (17, 'S4')]",14996.64118681,18.1469429,1.68668426
"[(1, 'S0'), (2, 'S1'), (3, 'S9'), (4, 'E7'), (5, 'E2'), (6, 'S7'), (7, 'S7'), (8, 'E0'), (9, 'S6'), (10, 'E6'), (11, 'S0'), (12, 'E1'), (13, 'E3'), (14, 'E1'), (15, 'E4'), (16, 'S7'), (17, 'E8'), (18, 'S9')]",15536.33994709,18.88150348,1.84604378
"[(1, 'E6'), (2, 'S0'), (3, 'S5'), (4, 'S8'), (5, 'E4'), (6, 'E8'), (7, 'E0'), (8, 'S6'), (9, 'S9'), (10, 'S2'), (11, 'E9'), (12, 'E1'), (13, 'S1'), (14, 'S1'), (15, 'S4'), (16, 'E3')]",13168.5408759,17.31829995,1.85806608
"[(1, 'E5'), (2, 'E2'), (3, 'S6'), (4, 'S5'), (5, 'E8'), (6, 'E0'), (7, 'E1'), (8, 'E5'), (9, 'E1'), (10, 'S2'), (11, 'E6'), (12, 'E7'), (13, 'E3'), (14, 'S1'), (15, 'S5'), (16, 'E7'), (17, 'S6'), (18, 'E7'), (19, 'E0')]",13029.26518678,16.96123752,1.77441103
"[(1, 'E0'), (2, 'E7'), (3, 'S8'), (4, 'S0'), (5, 'S0'), (6, 'S8'), (7, 'S1'), (8, 'S7'), (9, 'E7'), (10, 'E1'), (11, 'E3'), (12, 'E2'), (13, 'S5'), (14, 'E2'), (15, 'S3'), (16, 'E5'), (17, 'S9'), (18, 'S4'), (19, 'S9'), (20, 'S7')]",16903.54280139,20.21940571,1.80215325
"[(1, 'E6'), (2, 'S5'), (3, 'S9'), (4, 'E4'), (5, 'S6'), (6, 'E4'), (7, 'S8'), (8, 'S4'), (9, 'S9'), (10, 'E4'), (11, 'E2'), (12, 'E8'), (13, 'S8'), (14, 'E0'), (15, 'S6'), (16, 'E2'), (17, 'S1'), (18, 'E8'), (19, 'S4'), (20, 'S9')]",20969.20991587,20.22807387,1.73827403
"[(1, 'S2'), (2, 'E6'), (3, 'S0'), (4, 'E5'), (5, 'E8'), (6, 'E1'), (7, 'S3'), (8, 'E1'), (9, 'E9'), (10, 'E3'), (11, 'E3'), (12, 'S6'), (13, 'E7'), (14, 'E6'), (15, 'S8'), (16, 'S8')]",12642.19955926,17.51424101,1.80027828
"[(1, 'S5'), (2, 'S5'), (3, 'S5'), (4, 'S7'), (5, 'S1'), (6, 'E1'), (7, 'E7'), (8, 'E1'), (9, 'E0'), (10, 'E8'), (11, 'E7'), (12, 'S4'), (13, 'E3'), (14, 'E4'), (15, 'S3'), (16, 'E6'), (17, 'S7'), (18, 'S2'), (19, 'E1')]",13170.07962455,18.22389941,1.8249833
"[(1, 'E6'), (2, 'S6'), (3, 'S9'), (4, 'E2'), (5, 'S0'), (6, 'S3'), (7, 'S1'), (8, 'E6'), (9, 'S5'), (10, 'E9'), (11, 'S1'), (12, 'S9'), (13, 'S2'), (14, 'E6'), (15, 'E2'), (16, 'E8'), (17, 'S7'), (18, 'S7'), (19, 'E3')]",17381.03860837,19.52381789,1.77439229
"[(1, 'E3'), (2, 'S9'), (3, 'S3'), (4, 'S9'), (5, 'E3'), (6, 'S1'), (7, 'S1'), (8, 'E4'), (9, 'E8'), (10, 'E2'), (11, 'S7'), (12, 'E9'), (13, 'E7'), (14, 'E0'), (15, 'E3'), (16, 'E8'), (17, 'S5'), (18, 'S6'), (19, 'S5'), (20, 'S5')]",16551.74344342,19.05106003,1.85420136
"[(1, 'E3'), (2, 'E3'), (3, 'S6'), (4, 'S8'), (5, 'S1'), (6, 'S0'), (7, 'E7'), (8, 'E0'), (9, 'S0'), (10, 'S5'), (11, 'S7'), (12, 'E8'), (13, 'E6'), (14, 'S4'), (15, 'S7'), (16, 'E8'), (17, 'S7'), (18, 'S3'), (19, 'E0')]",17250.61283291,18.79267027,1.82190567
"[(1, 'S2'), (2, 'S4'), (3, 'S0'), (4, 'S9'), (5, 'E5'), (6, 'S4'), (7, 'E5'), (8, 'S8'), (9, 'E1'), (10, 'E8'), (11, 'S5'), (12, 'S0'), (13, 'E9'), (14, 'S4'), (15, 'E4'), (16, 'S9'), (17, 'S5')]",16046.85854752,19.19761128,1.839849
